user_id,user_name,total_plays,total_seconds,average_duration,unique_songs,unique_genres,completed_plays,total_likes,completion_rate
70,Synthetic User 70,68,11661.0,171.49,57,11,38,9,55.88
121,Synthetic User 121,68,11201.0,164.72,68,13,45,5,66.18
83,Synthetic User 83,68,11274.0,165.79,67,8,51,7,75.0
105,Synthetic User 105,67,10723.0,160.04,66,13,47,14,70.15
49,Synthetic User 49,67,12207.0,182.19,66,12,43,6,64.18
133,Synthetic User 133,67,10522.0,157.04,60,8,42,16,62.69
55,Synthetic User 55,67,10249.0,152.97,67,11,38,14,56.72
135,Synthetic User 135,67,10046.0,149.94,67,7,44,10,65.67
167,Synthetic User 167,67,11657.0,173.99,67,14,42,13,62.69
146,Synthetic User 146,67,10937.0,163.24,66,12,45,14,67.16
177,Synthetic User 177,66,10362.0,157.0,66,12,39,8,59.09
26,Synthetic User 26,66,10479.0,158.77,66,12,50,9,75.76
61,Synthetic User 61,66,10515.0,159.32,66,8,39,3,59.09
81,Synthetic User 81,66,11374.0,172.33,54,8,43,6,65.15
19,Synthetic User 19,65,11563.0,177.89,63,14,43,13,66.15
150,Synthetic User 150,65,10830.0,166.62,65,16,41,14,63.08
63,Synthetic User 63,65,10483.0,161.28,35,11,46,16,70.77
25,Synthetic User 25,65,10430.0,160.46,64,11,41,15,63.08
153,Synthetic User 153,64,9858.0,154.03,64,13,38,18,59.38
178,Synthetic User 178,64,10577.0,165.27,63,11,39,17,60.94
35,Synthetic User 35,64,10924.0,170.69,59,10,47,14,73.44
151,Synthetic User 151,64,11144.0,174.13,63,10,41,10,64.06
108,Synthetic User 108,63,11028.0,175.05,62,12,46,12,73.02
176,Synthetic User 176,63,10425.0,165.48,63,10,39,10,61.9
89,Synthetic User 89,63,10934.0,173.56,53,13,35,18,55.56
22,Synthetic User 22,62,9779.0,157.73,57,10,45,10,72.58
130,Synthetic User 130,62,11637.0,187.69,62,8,41,12,66.13
72,Synthetic User 72,62,9694.0,156.35,62,13,40,11,64.52
136,Synthetic User 136,62,9869.0,159.18,62,9,38,6,61.29
149,Synthetic User 149,62,10801.0,174.21,62,9,47,11,75.81
3,Synthetic User 3,62,10007.0,161.4,62,12,46,7,74.19
114,Synthetic User 114,61,10309.0,169.0,58,12,40,13,65.57
78,Synthetic User 78,61,10580.0,173.44,61,10,40,13,65.57
17,Synthetic User 17,61,10726.0,175.84,58,12,43,10,70.49
39,Synthetic User 39,61,10167.0,166.67,61,8,44,9,72.13
200,Synthetic User 200,60,8741.0,145.68,57,11,38,14,63.33
7,Synthetic User 7,60,9358.0,155.97,60,10,35,7,58.33
21,Synthetic User 21,60,9445.0,157.42,59,11,42,8,70.0
154,Synthetic User 154,60,10472.0,174.53,60,11,38,11,63.33
62,Synthetic User 62,59,9518.0,161.32,55,9,43,9,72.88
67,Synthetic User 67,59,9948.0,168.61,59,10,38,8,64.41
31,Synthetic User 31,58,9228.0,159.1,55,10,39,13,67.24
29,Synthetic User 29,58,9818.0,169.28,58,10,35,10,60.34
4,Synthetic User 4,57,9552.0,167.58,56,8,33,12,57.89
54,Synthetic User 54,57,8732.0,153.19,57,7,41,16,71.93
69,Synthetic User 69,57,9771.0,171.42,55,11,35,11,61.4
2,Synthetic User 2,57,8328.0,146.11,53,11,36,10,63.16
155,Synthetic User 155,57,9309.0,163.32,56,10,39,7,68.42
141,Synthetic User 141,57,9760.0,171.23,57,10,45,13,78.95
77,Synthetic User 77,56,9167.0,163.7,55,9,40,9,71.43
74,Synthetic User 74,56,8794.0,157.04,56,12,30,6,53.57
71,Synthetic User 71,56,9487.0,169.41,55,12,39,13,69.64
51,Synthetic User 51,55,9358.0,170.15,55,11,41,5,74.55
102,Synthetic User 102,55,9859.0,179.25,53,9,34,12,61.82
68,Synthetic User 68,55,8753.0,159.15,55,9,38,10,69.09
194,Synthetic User 194,55,8003.0,145.51,54,10,34,7,61.82
111,Synthetic User 111,55,9210.0,167.45,55,11,32,16,58.18
131,Synthetic User 131,55,9520.0,173.09,54,8,35,8,63.64
6,Synthetic User 6,55,9088.0,165.24,48,8,36,7,65.45
36,Synthetic User 36,55,9351.0,170.02,54,11,36,14,65.45
98,Synthetic User 98,54,8217.0,152.17,54,10,34,3,62.96
84,Synthetic User 84,54,9058.0,167.74,52,12,34,5,62.96
161,Synthetic User 161,54,9000.0,166.67,54,7,32,9,59.26
193,Synthetic User 193,54,8891.0,164.65,52,9,33,9,61.11
180,Synthetic User 180,54,9362.0,173.37,51,10,32,14,59.26
5,Synthetic User 5,54,9415.0,174.35,54,10,35,11,64.81
96,Synthetic User 96,54,8622.0,159.67,54,11,35,7,64.81
188,Synthetic User 188,53,8802.0,166.08,53,12,42,12,79.25
58,Synthetic User 58,53,8126.0,153.32,53,13,36,6,67.92
45,Synthetic User 45,53,8630.0,162.83,43,7,36,9,67.92
113,Synthetic User 113,52,8721.0,167.71,52,10,38,14,73.08
125,Synthetic User 125,52,7935.0,152.6,51,7,40,5,76.92
152,Synthetic User 152,52,8860.0,170.38,51,12,26,6,50.0
92,Synthetic User 92,52,8588.0,165.15,52,10,40,9,76.92
122,Synthetic User 122,52,7191.0,138.29,51,9,31,8,59.62
33,Synthetic User 33,52,8735.0,167.98,52,10,39,7,75.0
123,Synthetic User 123,51,8283.0,162.41,50,11,36,12,70.59
101,Synthetic User 101,51,8337.0,163.47,51,11,35,5,68.63
183,Synthetic User 183,51,7855.0,154.02,50,9,30,11,58.82
186,Synthetic User 186,50,7751.0,155.02,50,12,37,9,74.0
145,Synthetic User 145,50,7585.0,151.7,46,14,40,12,80.0
129,Synthetic User 129,50,8587.0,171.74,49,11,36,9,72.0
170,Synthetic User 170,50,8390.0,167.8,50,11,31,11,62.0
20,Synthetic User 20,50,9653.0,193.06,35,11,34,11,68.0
100,Synthetic User 100,50,8764.0,175.28,50,9,25,10,50.0
57,Synthetic User 57,50,8403.0,168.06,46,8,31,9,62.0
93,Synthetic User 93,50,8800.0,176.0,44,8,35,7,70.0
195,Synthetic User 195,50,7755.0,155.1,50,13,29,11,58.0
53,Synthetic User 53,49,7669.0,156.51,47,11,23,4,46.94
18,Synthetic User 18,49,7174.0,146.41,48,8,31,11,63.27
191,Synthetic User 191,49,7830.0,159.8,43,10,29,13,59.18
64,Synthetic User 64,49,7565.0,154.39,49,9,37,7,75.51
12,Synthetic User 12,49,8384.0,171.1,49,7,36,6,73.47
13,Synthetic User 13,49,7884.0,160.9,49,11,26,5,53.06
95,Synthetic User 95,48,8662.0,180.46,48,11,28,9,58.33
189,Synthetic User 189,48,8252.0,171.92,48,10,35,6,72.92
115,Synthetic User 115,48,7279.0,151.65,46,11,30,9,62.5
165,Synthetic User 165,47,7819.0,166.36,47,10,32,9,68.09
11,Synthetic User 11,47,8583.0,182.62,47,12,28,11,59.57
34,Synthetic User 34,47,7865.0,167.34,47,11,26,7,55.32
44,Synthetic User 44,47,7049.0,149.98,47,9,31,10,65.96
119,Synthetic User 119,47,7526.0,160.13,47,8,30,11,63.83
159,Synthetic User 159,47,8020.0,170.64,47,10,31,10,65.96
32,Synthetic User 32,47,7600.0,161.7,47,9,37,7,78.72
94,Synthetic User 94,47,7737.0,164.62,47,7,32,5,68.09
166,Synthetic User 166,47,8549.0,181.89,46,10,34,11,72.34
30,Synthetic User 30,46,8371.0,181.98,46,11,26,9,56.52
27,Synthetic User 27,46,8173.0,177.67,45,6,26,13,56.52
8,Synthetic User 8,46,7758.0,168.65,41,9,34,6,73.91
156,Synthetic User 156,46,6798.0,147.78,35,8,28,9,60.87
52,Synthetic User 52,46,7871.0,171.11,46,9,29,9,63.04
41,Synthetic User 41,46,8109.0,176.28,40,8,27,7,58.7
110,Synthetic User 110,46,7963.0,173.11,46,6,28,9,60.87
90,Synthetic User 90,46,7850.0,170.65,44,8,27,2,58.7
184,Synthetic User 184,45,7393.0,164.29,45,8,30,9,66.67
160,Synthetic User 160,45,7974.0,177.2,45,9,32,8,71.11
86,Synthetic User 86,45,7909.0,175.76,45,9,23,10,51.11
66,Synthetic User 66,45,7048.0,156.62,45,9,33,9,73.33
126,Synthetic User 126,45,6978.0,155.07,38,11,35,10,77.78
164,Synthetic User 164,45,7675.0,170.56,45,13,29,5,64.44
168,Synthetic User 168,44,6352.0,144.36,41,11,32,8,72.73
132,Synthetic User 132,44,7769.0,176.57,44,8,25,7,56.82
187,Synthetic User 187,44,7066.0,160.59,44,9,30,8,68.18
97,Synthetic User 97,43,7921.0,184.21,43,13,22,12,51.16
148,Synthetic User 148,43,7023.0,163.33,43,8,26,11,60.47
171,Synthetic User 171,43,6232.0,144.93,42,8,31,10,72.09
103,Synthetic User 103,43,6302.0,146.56,43,7,30,9,69.77
157,Synthetic User 157,42,6181.0,147.17,40,12,27,11,64.29
140,Synthetic User 140,42,7566.0,180.14,42,10,26,11,61.9
198,Synthetic User 198,42,7153.0,170.31,42,8,21,12,50.0
75,Synthetic User 75,42,6668.0,158.76,42,10,27,3,64.29
174,Synthetic User 174,41,7146.0,174.29,41,10,26,13,63.41
56,Synthetic User 56,41,6324.0,154.24,41,11,26,7,63.41
88,Synthetic User 88,41,6803.0,165.93,40,10,25,6,60.98
179,Synthetic User 179,41,7873.0,192.02,40,13,28,8,68.29
23,Synthetic User 23,41,6019.0,146.8,41,9,26,7,63.41
199,Synthetic User 199,41,6148.0,149.95,41,15,24,11,58.54
28,Synthetic User 28,40,6647.0,166.18,40,7,20,5,50.0
120,Synthetic User 120,40,6795.0,169.88,40,9,26,5,65.0
47,Synthetic User 47,40,5771.0,144.28,40,9,27,6,67.5
163,Synthetic User 163,40,6663.0,166.58,40,9,25,11,62.5
